Project,URL,SHA,Polluter,Cleaner,Victim
Flask-JWT-Router,https://github.com/joegasewicz/Flask-JWT-Router,0fb1e256c81409be6f08d8be12f07e5f58b4f914,tests/test_routing.py::TestRouting::test_jwt_route[jwt_router_client0-None-200],tests/test_routing.py::TestRouting::test_jwt_route[jwt_router_client1-None-401],tests/test_routing.py::TestRouting::test_jwt_route[jwt_router_client3-None-401]
Flask-JWT-Router,https://github.com/joegasewicz/Flask-JWT-Router,0fb1e256c81409be6f08d8be12f07e5f58b4f914,tests/test_routing.py::TestRouting::test_jwt_route[jwt_router_client0-None-200],tests/test_routing.py::TestRouting::test_jwt_route[jwt_router_client2-None-401],tests/test_routing.py::TestRouting::test_jwt_route[jwt_router_client3-None-401]
IOCynergy,https://github.com/omersaraf/IOCynergy,1821423680f741d8ca06bcc6a02c8b21156f9ba0,cynergy/tests/test_register_multiple.py::test_multiple_list_arguments_with_wrap,cynergy/tests/test_class_mapping.py::test_class_mapping,cynergy/tests/test_register_multiple.py::test_register_multiple
IOCynergy,https://github.com/omersaraf/IOCynergy,1821423680f741d8ca06bcc6a02c8b21156f9ba0,cynergy/tests/test_register_multiple.py::test_multiple_list_arguments_with_wrap,cynergy/tests/test_class_mapping.py::test_class_mapping_from_init,cynergy/tests/test_register_multiple.py::test_register_multiple
IOCynergy,https://github.com/omersaraf/IOCynergy,1821423680f741d8ca06bcc6a02c8b21156f9ba0,cynergy/tests/test_register_multiple.py::test_multiple_list_arguments_with_wrap,cynergy/tests/test_config.py::test_argument_injection,cynergy/tests/test_register_multiple.py::test_register_multiple
IOCynergy,https://github.com/omersaraf/IOCynergy,1821423680f741d8ca06bcc6a02c8b21156f9ba0,cynergy/tests/test_register_multiple.py::test_multiple_list_arguments_with_wrap,cynergy/tests/test_config.py::test_argument_not_in_config_and_no_default,cynergy/tests/test_register_multiple.py::test_register_multiple
IOCynergy,https://github.com/omersaraf/IOCynergy,1821423680f741d8ca06bcc6a02c8b21156f9ba0,cynergy/tests/test_register_multiple.py::test_multiple_list_arguments_with_wrap,cynergy/tests/test_config.py::test_config_provider_is_not_initialized,cynergy/tests/test_register_multiple.py::test_register_multiple
IOCynergy,https://github.com/omersaraf/IOCynergy,1821423680f741d8ca06bcc6a02c8b21156f9ba0,cynergy/tests/test_register_multiple.py::test_multiple_list_arguments_with_wrap,cynergy/tests/test_sanity.py::test_class_with_default_arguments,cynergy/tests/test_register_multiple.py::test_register_multiple
IOCynergy,https://github.com/omersaraf/IOCynergy,1821423680f741d8ca06bcc6a02c8b21156f9ba0,cynergy/tests/test_register_multiple.py::test_multiple_list_arguments,cynergy/tests/test_class_mapping.py::test_class_mapping,cynergy/tests/test_register_multiple.py::test_register_multiple
IOCynergy,https://github.com/omersaraf/IOCynergy,1821423680f741d8ca06bcc6a02c8b21156f9ba0,cynergy/tests/test_register_multiple.py::test_multiple_list_arguments,cynergy/tests/test_class_mapping.py::test_class_mapping_from_init,cynergy/tests/test_register_multiple.py::test_register_multiple
IOCynergy,https://github.com/omersaraf/IOCynergy,1821423680f741d8ca06bcc6a02c8b21156f9ba0,cynergy/tests/test_register_multiple.py::test_multiple_list_arguments,cynergy/tests/test_config.py::test_argument_injection,cynergy/tests/test_register_multiple.py::test_register_multiple
IOCynergy,https://github.com/omersaraf/IOCynergy,1821423680f741d8ca06bcc6a02c8b21156f9ba0,cynergy/tests/test_register_multiple.py::test_multiple_list_arguments,cynergy/tests/test_config.py::test_argument_not_in_config_and_no_default,cynergy/tests/test_register_multiple.py::test_register_multiple
IOCynergy,https://github.com/omersaraf/IOCynergy,1821423680f741d8ca06bcc6a02c8b21156f9ba0,cynergy/tests/test_register_multiple.py::test_multiple_list_arguments,cynergy/tests/test_config.py::test_config_provider_is_not_initialized,cynergy/tests/test_register_multiple.py::test_register_multiple
IOCynergy,https://github.com/omersaraf/IOCynergy,1821423680f741d8ca06bcc6a02c8b21156f9ba0,cynergy/tests/test_register_multiple.py::test_multiple_list_arguments,cynergy/tests/test_sanity.py::test_class_with_default_arguments,cynergy/tests/test_register_multiple.py::test_register_multiple
IOCynergy,https://github.com/omersaraf/IOCynergy,1821423680f741d8ca06bcc6a02c8b21156f9ba0,cynergy/tests/test_register_multiple.py::test_register_multiple_when_onc_instance_is_already_registered,cynergy/tests/test_class_mapping.py::test_class_mapping,cynergy/tests/test_register_multiple.py::test_register_multiple
IOCynergy,https://github.com/omersaraf/IOCynergy,1821423680f741d8ca06bcc6a02c8b21156f9ba0,cynergy/tests/test_register_multiple.py::test_register_multiple_when_onc_instance_is_already_registered,cynergy/tests/test_class_mapping.py::test_class_mapping_from_init,cynergy/tests/test_register_multiple.py::test_register_multiple
IOCynergy,https://github.com/omersaraf/IOCynergy,1821423680f741d8ca06bcc6a02c8b21156f9ba0,cynergy/tests/test_register_multiple.py::test_register_multiple_when_onc_instance_is_already_registered,cynergy/tests/test_config.py::test_argument_injection,cynergy/tests/test_register_multiple.py::test_register_multiple
IOCynergy,https://github.com/omersaraf/IOCynergy,1821423680f741d8ca06bcc6a02c8b21156f9ba0,cynergy/tests/test_register_multiple.py::test_register_multiple_when_onc_instance_is_already_registered,cynergy/tests/test_config.py::test_argument_not_in_config_and_no_default,cynergy/tests/test_register_multiple.py::test_register_multiple
IOCynergy,https://github.com/omersaraf/IOCynergy,1821423680f741d8ca06bcc6a02c8b21156f9ba0,cynergy/tests/test_register_multiple.py::test_register_multiple_when_onc_instance_is_already_registered,cynergy/tests/test_config.py::test_config_provider_is_not_initialized,cynergy/tests/test_register_multiple.py::test_register_multiple
IOCynergy,https://github.com/omersaraf/IOCynergy,1821423680f741d8ca06bcc6a02c8b21156f9ba0,cynergy/tests/test_register_multiple.py::test_register_multiple_when_onc_instance_is_already_registered,cynergy/tests/test_sanity.py::test_class_with_default_arguments,cynergy/tests/test_register_multiple.py::test_register_multiple
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_single_input,test/test_occam_data.py::test_occam_data_save_load,test/test_occam_data.py::test_occam_data_not_save_to_npy
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_single_input,test/test_occam_data.py::test_occam_data_progress_bars,test/test_occam_data.py::test_occam_data_not_save_to_npy
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_attributes,test/test_occam_data.py::test_occam_data_save_load,test/test_occam_data.py::test_occam_data_not_save_to_npy
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_attributes,test/test_occam_data.py::test_occam_data_progress_bars,test/test_occam_data.py::test_occam_data_not_save_to_npy
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_not_equal,test/test_occam_data.py::test_occam_data_save_load,test/test_occam_data.py::test_occam_data_not_save_to_npy
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_constructor_files,test/test_occam_data.py::test_occam_data_save_load,test/test_occam_data.py::test_occam_data_not_save_to_npy
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_constructor_files,test/test_occam_data.py::test_occam_data_progress_bars,test/test_occam_data.py::test_occam_data_not_save_to_npy
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_wrong_input,test/test_occam_data.py::test_occam_data_save_load,test/test_occam_data.py::test_occam_data_not_save_to_npy
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_wrong_input,test/test_occam_data.py::test_occam_data_progress_bars,test/test_occam_data.py::test_occam_data_not_save_to_npy
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_wrong_input,test/test_read_fort1.py::test_parse_bool,test/test_occam_data.py::test_occam_data_not_save_to_npy
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_wrong_input,test/test_read_fort1.py::test_read_fort1_file,test/test_occam_data.py::test_occam_data_not_save_to_npy
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_wrong_input,test/test_read_fort1.py::test_read_fort1_invalid,test/test_occam_data.py::test_occam_data_not_save_to_npy
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_wrong_input,test/test_read_fort1.py::test_read_fort1_file_contents,test/test_occam_data.py::test_occam_data_not_save_to_npy
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_wrong_input,test/test_read_fort7.py::test_read_fort7_file,test/test_occam_data.py::test_occam_data_not_save_to_npy
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_wrong_input,test/test_read_fort7.py::test_read_fort7_array_length,test/test_occam_data.py::test_occam_data_not_save_to_npy
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_wrong_input,test/test_read_fort7.py::test_read_fort7_values,test/test_occam_data.py::test_occam_data_not_save_to_npy
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_wrong_input,test/test_read_xyz.py::test_read_xyz_file,test/test_occam_data.py::test_occam_data_not_save_to_npy
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_wrong_input,test/test_read_xyz.py::test_read_xyz_types,test/test_occam_data.py::test_occam_data_not_save_to_npy
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_wrong_input,test/test_read_xyz.py::test_read_xyz_positions,test/test_occam_data.py::test_occam_data_not_save_to_npy
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_wrong_input,test/test_read_xyz.py::test_read_xyz_time_array,test/test_occam_data.py::test_occam_data_not_save_to_npy
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_wrong_input,test/test_read_xyz.py::test_read_xyz_parse_comment_line,test/test_occam_data.py::test_occam_data_not_save_to_npy
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_wrong_input,test/test_read_xyz.py::test_are_floats,test/test_occam_data.py::test_occam_data_not_save_to_npy
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_wrong_input,test/test_read_xyz.py::test_read_xyz_velocities,test/test_occam_data.py::test_occam_data_not_save_to_npy
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_wrong_input,test/test_replace_in_fort1.py::test_replace_in_fort1_file,test/test_occam_data.py::test_occam_data_not_save_to_npy
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_wrong_input,test/test_replace_in_fort1.py::test_replace_in_fort1_int,test/test_occam_data.py::test_occam_data_not_save_to_npy
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_wrong_input,test/test_replace_in_fort1.py::test_replace_in_fort1_float,test/test_occam_data.py::test_occam_data_not_save_to_npy
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_wrong_input,test/test_replace_in_fort1.py::test_replace_in_fort1_str,test/test_occam_data.py::test_occam_data_not_save_to_npy
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_wrong_input,test/test_replace_in_fort3.py::test_replace_in_fort3_fort3_parse_property_name,test/test_occam_data.py::test_occam_data_not_save_to_npy
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_wrong_input,test/test_replace_in_fort3.py::test_replace_in_fort3_properties_replace_new,test/test_occam_data.py::test_occam_data_not_save_to_npy
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_wrong_input,test/test_replace_in_fort3.py::test_replace_in_fort3_fort3_properties_index,test/test_occam_data.py::test_occam_data_not_save_to_npy
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_wrong_input,test/test_replace_in_fort3.py::test_replace_in_fort3_file,test/test_occam_data.py::test_occam_data_not_save_to_npy
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_wrong_input,test/test_replace_in_fort3.py::test_replace_in_fort3_count_property,test/test_occam_data.py::test_occam_data_not_save_to_npy
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_wrong_input,test/test_replace_in_fort3.py::test_replace_in_fort3_is_int,test/test_occam_data.py::test_occam_data_not_save_to_npy
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_wrong_input,test/test_replace_in_fort3.py::test_replace_in_fort3__count_existing_instances,test/test_occam_data.py::test_occam_data_not_save_to_npy
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_wrong_input,test/test_replace_in_fort3.py::test_replace_in_fort3_fort3_replacement_repr,test/test_occam_data.py::test_occam_data_not_save_to_npy
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_wrong_input,test/test_replace_in_fort3.py::test_replace_in_fort3_parse_fort_3_file,test/test_occam_data.py::test_occam_data_not_save_to_npy
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_wrong_input,test/test_replace_in_fort3.py::test_replace_in_fort3_sort_new_replace_args_atoms,test/test_occam_data.py::test_occam_data_not_save_to_npy
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_wrong_input,test/test_replace_in_fort3.py::test_replace_in_fort3_sort_new_replace_args_bonds,test/test_occam_data.py::test_occam_data_not_save_to_npy
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_wrong_input,test/test_replace_in_fort3.py::test_replace_in_fort3_sort_new_replace_args_non_bonds,test/test_occam_data.py::test_occam_data_not_save_to_npy
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_wrong_input,test/test_replace_in_fort3.py::test_replace_in_fort3_sort_new_replace_args_angles,test/test_occam_data.py::test_occam_data_not_save_to_npy
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_wrong_input,test/test_replace_in_fort3.py::test_replace_in_fort3_construct_new_chi,test/test_occam_data.py::test_occam_data_not_save_to_npy
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_wrong_input,test/test_replace_in_fort3.py::test_replace_in_fort3_write_fort3_from_replace_objects,test/test_occam_data.py::test_occam_data_not_save_to_npy
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_wrong_input,test/test_replace_in_fort3.py::test_replace_in_fort3_check_new_kappa,test/test_occam_data.py::test_occam_data_not_save_to_npy
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_wrong_input,test/test_replace_in_fort3.py::test_replace_in_fort3,test/test_occam_data.py::test_occam_data_not_save_to_npy
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_wrong_input,test/test_replace_in_fort3.py::test_replace_in_fort3_replace_scf,test/test_occam_data.py::test_occam_data_not_save_to_npy
