Project_Name,Project_URL,Project_Hash,pytest_Status
BT-Tracker,https://github.com/nordwind80/BT-Tracker,558c15b399871c1ca11d0c4ae1eb598e3060931e,Success
Breathe,https://github.com/mrob95/Breathe,4600818e24f4156cd7bb8cc0f43886b27323968e,Success
Butter.MAS.PythonAPI,https://github.com/bennymeg/Butter.MAS.PythonAPI,f86ebe75df3826f62a268645cdbe4400b43fab07,Success
CMasher,https://github.com/1313e/CMasher,fccda3b76ac93e089f34be572b984b7718076756,Success
ChainConsumer,https://github.com/samreay/ChainConsumer,3206a98f5e121ff3e17c30c840710bd7fda59fca,Success
CmdKit,https://github.com/glentner/CmdKit,b8d4572612667080807b2b26d47c624a330c2872,Fail_to_Fetch_Tests
Coinsta,https://github.com/PyDataBlog/Coinsta,7cdce24669e5ab40852f0b88329c68e5bb568f5b,Success
ColonyScanalyser,https://github.com/Erik-White/ColonyScanalyser,38034b7d62a7c4f72a9f6981d0218c23f22cc7c8,Success
ConfigMaster,https://github.com/SunDwarf/ConfigMaster,8018aa415da55c84edaa8a49664f674758a14edd,Project_Not_Found
DESlib,https://github.com/Menelau/DESlib,77d0ccb491c522e7505d9ac6081b72cac001cb9e,Fail_to_Fetch_Tests
DotDot,https://github.com/Gsllchb/DotDot,89a6f7a86866de9c348f7e91da57c359c94568db,Success
EZconfig,https://github.com/shalev67/EZconfig,2cedba67fbfe0ca448ccf7134b51e4e9329a6d16,Success
EasyJWT,https://github.com/BMeu/EasyJWT,49e888f5441b72c88ddf659c32b4f3096063f0e5,Fail_to_Fetch_Tests
firebase-live-data,https://github.com/heston/firebase-live-data,dd73615ccfae11e95830f49df8d3a90546d671f5,Success
flask_googletrans,https://github.com/mrf345/flask_googletrans/,e7ec3057bdbe57bb30928edc41fdeb0d19a0984d,Success
Flask-InterfacePubSub,https://github.com/rafaelportugal/Flask-InterfacePubSub,60904ceafed88e25c1504aa0300d37780c09c50b,Fail_to_Fetch_Tests
Flask-JWT-Router,https://github.com/joegasewicz/Flask-JWT-Router,0fb1e256c81409be6f08d8be12f07e5f58b4f914,Success
flask-multi-redis,https://github.com/max-k/flask-multi-redis,fa781d3598448a6429309a686de9a8adb53f9f34,Success
Flaskerizer,https://github.com/brettvanderwerff/Flaskerizer,5a9724804f4e479fc3289e8644dc788adfeff06d,Success
GDAX-Python,https://github.com/danpaquin/GDAX-Python,19cac25c51e592994cfa86ec487eef6a5c76718f,Fail_to_Fetch_Tests
GOApy,https://github.com/leopepe/GOApy,a8e0dfe5f0f593107884ad54f89a27f67ee28129,Success
GraphRole,https://github.com/dkaslovsky/GraphRole,6a2591ee3075f9d4ea5cd0b05dc38a8231b9c828,Fail_to_Fetch_Tests
HikLoad,https://github.com/Tedyst/HikLoad,b3eb7be65bd34040992e1b7b15f23ff4ce2e8dc4,Success
IOCynergy,https://github.com/omersaraf/IOCynergy,1821423680f741d8ca06bcc6a02c8b21156f9ba0,Success
JavPy,https://github.com/TheodoreKrypton/JavPy,61df53aafbfbd05ed1efa8c51a08d6e9252cb533,Success
LabIFSC,https://github.com/gjvnq/LabIFSC,cb56b75f51eb54680d0b81f4c87aa0234538a2a8,Success
Lyricfetch,https://github.com/ocaballeror/Lyricfetch,0cf9e3c541712933b1050e942671a92028e11f9c,Success
MusicAPI,https://github.com/kushao1267/MusicAPI,c6340d5dd6df869a90a44a311d3cd7a383bd4cf4,Success
NestedDictionary,https://github.com/cahoy/NestedDictionary,881f0ea8af36a60fcd1b9d7a84b1aec4cd7072b2,Success
Neuraxle,https://github.com/Neuraxio/Neuraxle,20c6e5713198345b43bf6899355f1b5cf65eb02c,Success
NeuroKit.py,https://github.com/neuropsychology/NeuroKit.py,fc77dc94e421d5b166a5516b7186bae483d753bd,Success
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,Success
PBjam,https://github.com/grd349/PBjam,f387d840685831955c79dec83c792ab0d297aadc,Fail_to_Fetch_Tests
penman,https://github.com/goodmami/penman,e83cf6d006724d72a3e19a955aad94412da912b7,Success
Py-MI-PS,https://github.com/AshtonUPS/Py-MI-PS,2d22327c75bac1b58a4804a61e7a703ecc5ba978,Success
PyGraph,https://github.com/Rickecr/PyGraph,e81c3a0f543f5bfcda1a603c6dcecde13d582c57,Success
PyInvestor,https://github.com/SamurAi-sarl/PyInvestor,09259ad387dab597a7a525ae73090dffb886968f,Success
PyJsonFriendly,https://github.com/maboualidev/PyJsonFriendly,8b1ee498bc7a27024851b5101bf09913031e2477,Success
PyPOM,https://github.com/mozilla/PyPOM,9cb84df9d27b428b4e7423d1bbe6502e92990154,Fail_to_Fetch_Tests
PyRedisEasyIO,https://github.com/washad/PyRedisEasyIO,30d566760aa622ae6e8fcc1fa4abdc79b6bda614,Success
PySyncDroid,https://github.com/DusanMadar/PySyncDroid,9a217a54f4286af8e7505c184eb2a6775f52d815,Success
PySyncObj,https://github.com/bakwc/PySyncObj,792b6112cfa234716f5e0408194114f1abc8b1ad,Time_Out
PyXenaValkyrie,https://github.com/xenadevel/PyXenaValkyrie,92b45f1f37a5589cbdb9224a287fa0426d2c8d47,Success
QTAF,https://github.com/Tencent/QTAF,c9141e8fbdfd89f5f13dd59dfab17f9e8193dcf8,Success
Rainy,https://github.com/kngwyu/Rainy,28a7ea53e577a9c209414b4fff3a22c6d8b530d0,Fail_to_Fetch_Tests
RandomFileTree,https://github.com/klieret/RandomFileTree,aaaa975ae61afa6f0f5b481ebafcfa0f0216e471,Success
RaspberryPiMovementDetector,https://github.com/KSanthanam/RaspberryPiMovementDetector,a415e5aca22fa41ce0eba0b61cf56d3035f92f64,Success
ReactOBus,https://github.com/ivoire/ReactOBus,841d5c0442ffe92fcaec278e07053afe5b93d925,Success
Reusables,https://github.com/cdgriffith/Reusables,171ea3dc10a37ed46ff833c48926a995496d2fc6,Success
SCout,https://github.com/holzkohlengrill/SCout,8fd1eca0607b27d6e0c537b2ea1211d23356edff,Success
SNData,https://github.com/djperrefort/SNData,e4854f0dc357484b437b15f9dac15f7c589eff58,Success
sslyze,https://github.com/nabla-c0d3/sslyze,bf1b01048560308654b31bf55ad2d2363285f95f,Fail_to_Fetch_Tests
Santaslist,https://github.com/obihann/Santaslist,e678a70b41047defc42261d0b483fb75677c5c10,Fail_to_Fetch_Tests
SimPyClassic,https://github.com/SimPyClassic/SimPyClassic,b59fb83742e484f2c590ed005ac911868727d59d,Fail_to_Fetch_Tests
StrangeCase,https://github.com/colinta/StrangeCase,dd2385745dba1211439fc1d0b0dae72b30e4b3b2,Fail_to_Fetch_Tests
Tale,https://github.com/irmen/Tale,a2a26443465ab6978b32d9253e833471500e7b68,Success
Twitch-Python,https://github.com/PetterKraabol/Twitch-Python,49ddf2c826f147e009d0931eee59cf81ad5fea7d,Fail_to_Fetch_Tests
Verifone,https://github.com/vilkasgroup/Verifone,5509c08767a9b482cfe5a9572854cf4c73ad6c02,Success
YAROM,https://github.com/openworm/YAROM,cd4fb6cb8fac72a198858225ce89ad8b9c9175fd,Success
abagen,https://github.com/rmarkello/abagen,4af521f6d7e71d4bbebb4960ff2447256e2447eb,Success
accessify,https://github.com/dmytrostriletskyi/accessify,6b7cf8657ffe18cd6a43c6cfb73b071084f0331e,Success
acme-mgmtserver,https://github.com/mswart/acme-mgmtserver,c3a0d90f80ced8724515e7bbec3764b16581e5b6,Success
aiobfd,https://github.com/netedgeplus/aiobfd,090122474d5bf6266393f0908c13be5812fdb1c3,Success
aiopylimit,https://github.com/dmarkey/aiopylimit,b4075a8ac30dbbef59a2243f618a35a2f54b590c,Success
aiotasks,https://github.com/cr0hn/aiotasks,ec485c84db55227c9283319a9c58401e294a06ff,Success
airflow_xplenty,https://github.com/apartmentlist/airflow_xplenty,445c21782b985bfdbfffa4608a1dc90411af8aed,Project_Not_Found
alertlogicAPI,https://github.com/Fabio-CS/alertlogicAPI,8c5176ea611479aeb5475d6fd98f2a3688a7a631,Success
alphanum_code,https://github.com/ylaizet/alphanum_code,fb5cd313dc41f046aac01ff01d6e1561d17894a6,Success
amplimap,https://github.com/koelling/amplimap,47a65e624e4a7f7ed62b029e6ed65dc78cf34ac7,Fail_to_Fetch_Tests
andriller,https://github.com/den4uk/andriller,5e856ca92ef7e9bf732f28cbd8e341181976654f,Fail_to_Fetch_Tests
anonapi,https://github.com/sjoerdk/anonapi,5e70dfd9fcb7dcc4e2345a6a153d9530f4886e73,Success
api-python,https://github.com/datacommonsorg/api-python,6d09ca1557da0af893f008f7302801f12afc2d46,Success
appnexus-client,https://github.com/numberly/appnexus-client,8d39ff7b9d290e0e1b9d16ea7302c0288f495bef,Success
apyhgnc,https://github.com/robertopreste/apyhgnc,26efa764a2262cfa12c8a2f0f077569e7f3e4e79,Success
argutil,https://github.com/cmccandless/argutil,15b4d309fefe7a2d7648dac3974bd22ba7b1030a,Success
aries-staticagent-python,https://github.com/hyperledger/aries-staticagent-python,62f0e4e435e4e324f76a8fb724d0f733192bc0c3,Success
arlib,https://github.com/gongliyu/arlib,6918f0146dab459369ec2861fe68d796acff8ea6,Fail_to_Fetch_Tests
astrocyte,https://github.com/dbbs-lab/astrocyte,3fa30fa2897ef1ea4dd94b2c9d6ddd3efb2a2b1a,Success
asv,https://github.com/airspeed-velocity/asv,a131ca742daf53c4521fbfefeb53507b5c140c84,Success
async-kinesis-client,https://github.com/whale2/async-kinesis-client,e7df499141854b8b7638a7ab0adce14a4d28201e,Success
asyncloop,https://github.com/dgkim5360/asyncloop,e4f50156a74ee6430a8ade66f201ba61066396e4,Success
atlasclient,https://github.com/jpoullet2000/atlasclient,02b3e7d9a6596d1123fc22b6bfed08d60105d19e,Success
aud,https://github.com/zdhoward/aud,2dfc81dad3da78537e1b1c6f5cc5630ba5b837f9,Success
authnzerver,https://github.com/waqasbhatti/authnzerver,bc735a1c9e1c084c40854a539a000d69a50ed486,Success
autoclasswrapper,https://github.com/pierrepo/autoclasswrapper,af43dd833e5586386098d1793a59332e968069da,Success
autodiscover,https://github.com/nicolaszein/autodiscover,3009f81c51b7a4cb077427e429d740db98eb173b,Success
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,Success
autoyaml,https://github.com/martyni/autoyaml,be3f450667bcca477683e63bcc49c67c5d170855,Success
aws-lambda-decorators,https://github.com/gridsmartercities/aws-lambda-decorators,bbd25a7002b99e57fe7da225b6aad06cb1e43b9c,Success
awsume,https://github.com/trek10inc/awsume,e1fb812d14fd4f4508ceaf9c51dcdb8d091284c2,Fail_to_Fetch_Tests
axondeepseg,https://github.com/neuropoly/axondeepseg,7a0e6f130f79086de35c2d996612dae132ebfc3e,Fail_to_Fetch_Tests
baas-sdk-python,https://github.com/nec-baas/baas-sdk-python,83b0916af0e4f3167a232ac7eb06b82331adc172,Fail_to_Fetch_Tests
bankroll,https://github.com/bankroll-py/bankroll,f1f147143e0fc8380267bee91da7d6fb4f409ada,Fail_to_Fetch_Tests
base10,https://github.com/mattdavis90/base10,93577e85215e4cd7f02a504ff6a23501d56a1748,Success
basic_auth,https://github.com/rorymurdock/basic_auth,622f2133c13988cec549f4ea55bed14e50f90876,Success
beem,https://github.com/holgern/beem,f3c3bd84daccac1ee4ed45c1ada0f88f29ca3f2f,Success
blogit,https://github.com/oz123/blogit,15b94969fa43aaf8dc677a8184b144ae8c0f7700,Success
bloomtime,https://github.com/Poogles/bloomtime,94343456192c0a4837ddad2c421d59c7a3fd02fa,Success
bloop,https://github.com/numberoverzero/bloop,7ee0b0e20935dd0f396e758e7b0c26c76a316338,Success
bluebees,https://github.com/matheuswhite/bluebees,ca18ee6dae60393480bac3893038790957727748,Success
boatd,https://github.com/boatd/boatd,bfd389f980d6c8cfd8e036dc1be1e746e891968b,Success
bomweather,https://github.com/aguinane/bomweather,cfe945a64900a9207a44c42551ec2c365916b7d2,Success
bootstrap_env,https://github.com/jedie/bootstrap_env,ab68025d8f6b9a17d8feeed83e8aae26e3f28769,Success
bottle-neck,https://github.com/agile4you/bottle-neck.git,ebc670a4b178255473d68e9b4122ba04e38f4810,Success
brian2modelfitting,https://github.com/brian-team/brian2modelfitting,7f01463bf5be47cc82e26f033819c8a82cefac2b,Success
bruker2nifti,https://github.com/SebastianoF/bruker2nifti,4fbac970e9125f3e53dd5e31d63b971ad739a6d2,Success
buildozer,https://github.com/kivy/buildozer,4a18fb321e8410c44c9a62bd65671f33df3a470b,Success
bupper,https://github.com/michaelpb/bupper,d3751472b90132e781dfb32310b5b567658b7f31,Success
cBinder,https://github.com/Tetrite/cBinder,940e8c78eb9cf2eda1bc69427a6279b8b832bfe1,Success
python-caching,https://github.com/bofm/python-caching,16de50c119f8896e923e3f10488ecf6ffe535f45,Success
carbonize,https://github.com/eillarra/carbonize,efc89b8a9e44f9d64110406ce70929a9671517c7,Success
cdQA,https://github.com/cdqa-suite/cdQA,40387925db8f0da44a5bd2fe549cde675a92d479,Fail_to_Fetch_Tests
cellpy,https://github.com/jepegit/cellpy,6fca7ff1dd85bdf7500f1cd4cbc73e8395150748,Success
centreon-sdk-python,https://github.com/guillaumewatteeux/centreon-sdk-python,9f207d5458afc3304e24f16988069467b19eab81,Success
centrosome,https://github.com/CellProfiler/centrosome,878a4ef7c3d39dcab893ed27838c9338c5721c5b,Fail_to_Fetch_Tests
cfgsaver,https://github.com/prahladyeri/cfgsaver,9654076b418c96bcddbf2fddc5fdb0f6f4117278,Success
cfitall,https://github.com/wryfi/cfitall,690a84fe9fd820b8b77bc2bb1fe621231a2ed3f7,Fail_to_Fetch_Tests
charpy,https://github.com/sylhare/charpy,82d82f8f3546f2104840a5026ad6c8d5157a91bd,Success
chazutsu,https://github.com/chakki-works/chazutsu,734828f2f05799a1d59d9280a032bf5996fe3261,Success
cherry,https://github.com/Windsooon/cherry,bc6ae1f0284d837fb95279098538530312313534,Success
chuda,https://github.com/Varkal/chuda,bd4d30c0f809d5349752ab2f322f30b01ab6b4a4,Success
ci-diff-helper,https://github.com/dhermes/ci-diff-helper,876affd3ba49d78c48708a12103d39ef3c7d5f1d,Success
citrine-python,https://github.com/CitrineInformatics/citrine-python,8fec512d0261ab7a5a94f5354022519a1dd81146,Fail_to_Fetch_Tests
cityseer,https://github.com/cityseer/cityseer,2d71d5dc962054f6cd1e87b5a61b43e8f4ddbec0,Fail_to_Fetch_Tests
clashogram,https://github.com/mehdisadeghi/clashogram,5b8cc18adfc92ad381040ee25b750df462122939,Success
cli-tools,https://github.com/codemagic-ci-cd/cli-tools,bc545dcce32aeddf3582f88774c753dde1381a3b,Fail_to_Fetch_Tests
client_python,https://github.com/prometheus/client_python,5b0a476489fc6a26c177683b539142c91005de06,Success
clinner,https://github.com/PeRDy/clinner,0a9abfb7495f76d4233523ad5fb7ce219741589f,Fail_to_Fetch_Tests
cloud-validation-framework,https://github.com/prancer-io/cloud-validation-framework,94522590d9881a5125d81da701a65f7f63383c0d,Success
cloudnetpy,https://github.com/tukiains/cloudnetpy,26f2607b890630146469cfa410fce99438ceee3f,Success
clu,https://github.com/nir0s/clu,77da967a4577ca4cf100cfe34e87b39ad88bf21c,Success
codespell,https://github.com/codespell-project/codespell,cc51bbbe505cbc23eae32f52deb2cc7c8b33a0eb,Fail_to_Fetch_Tests
coinbase-commerce-python,https://github.com/coinbase/coinbase-commerce-python,d306fc562309edb909c8ace501c63327a7635975,Success
coinbasepro-python,https://github.com/danpaquin/coinbasepro-python,19cac25c51e592994cfa86ec487eef6a5c76718f,Fail_to_Fetch_Tests
colltools,https://github.com/JakubTesarek/colltools,e50f98ccda33ab409fcdba277a39f071824e24c7,Success
compare-mt,https://github.com/neulab/compare-mt,92502b30b1f228773179a01dd86fe1b8dfd400e5,Success
compilertools,https://github.com/JGoutin/compilertools,7b898cb6970f5f25c5356b15a2efd0cb2e54d566,Success
compiletools,https://github.com/Zomojo/compiletools,e45c5ad452b86c1fe557961aa4ebefd3f34f6a58,Success
compyle,https://github.com/pypr/compyle,f557e49c7e18a49efdb5807ac650ba590db81cb2,Success
config-better,https://github.com/kade-robertson/config-better,c14638da3fe95a669a04db2602e1f6ea15591c36,Success
configaro,https://github.com/mojochao/configaro,d7b432fb2f99c4cb3c3208082f0afff62454c83d,Success
confight,https://github.com/avature/confight,be2d162c99cc3c709289913de137f8d8bfbd35d5,Success
configparse,https://github.com/jyn514/configparse,d7a4ee5b121de2be1858104723bdb7ac47df64ce,Success
container-app-conf,https://github.com/markusressel/container-app-conf,02584f7f2ef2615fa7da8bd551aede88afb29919,Fail_to_Fetch_Tests
coo,https://github.com/wilfredinni/coo,da9e75d46ed65599cd2223b029ac30c08496a80b,Success
cornice.ext.swagger,https://github.com/Cornices/cornice.ext.swagger,17a63e86751c7d8f1b2b75d49056161c80f4cef2,Success
coworks,https://github.com/gdoumenc/coworks,c574654a1e3d1cd4ad56b6f5912631230c37fdf3,Fail_to_Fetch_Tests
crfmnes,https://github.com/nmasahiro/crfmnes,5fc9625c86135fb5e8824f867a08cc410d3638bd,Success
crom,https://github.com/thegetty/crom,98bb6be4e32b4c81eb7e0b5e841a915b015abaf0,Success
crossplane,https://github.com/caas-one/crossplane,d5b39fcae31cd0c26af5d425fa7cb591d1ee91ee,Success
cvbase,https://github.com/hellock/cvbase,e48d2f76aaeea6472b2175c37780f7b90ae7f1b6,Success
cw-sdk-python,https://github.com/cryptowatch/cw-sdk-python,92bd90db16dfc116c0708d19d27208d9bfc990c1,Success
cycle_calendar_generator,https://github.com/ROldford/cycle_calendar_generator,729194154cc540a1d21fa77a77dba3ff820d56be,Success
cytominer-database,https://github.com/cytomining/cytominer-database,3926b55627e76a319460d6ac3ff4bdf65e1f5f98,Success
dagger,https://github.com/east301/dagger,7435238cd3023103128c74a2e2efdfb7a2b6f95b,Fail_to_Fetch_Tests
dame,https://github.com/malpunek/dame,d6568d3088dd0a8b87eb5d278e04ab857a622418,Success
danlp,https://github.com/alexandrainst/danlp,0c7169e4c8b0595205fbb7bdf64ce4f2ca79edcc,Success
dar,https://github.com/alanbato/dar,15da1a444bb800b3d1e4571e2fd1609190b7dffb,Fail_to_Fetch_Tests
data-pypes,https://github.com/isnok/data-pypes,dcfe6feac2b617f9f8624cff81c44f72c0313ee6,Success
datapungibea,https://github.com/jjotterson/datapungibea,fe3b262b7e2ceffd12621693c94af9b6cc43e408,Success
daymetpy,https://github.com/khufkens/daymetpy,539f8d47315f0f68f86875d7805541dadcb76604,Success
dcard-spider,https://github.com/leVirve/dcard-spider,ac64cbcfe7ef6be7e554cef422b1a8a6bb968d46,Success
debinterface,https://github.com/nMustaki/debinterface,abd30a55dcbadc30fd66143adc196034b663054f,Success
dedoop,https://github.com/edsu/dedoop,37b29dade43afb1a52e3424b6a0a98a7018c8283,Success
deezload,https://github.com/vanyakosmos/deezload,8a25f4657d648a3c70b6287a9828cec724c8fa0e,Success
devtracker,https://github.com/ConSou/devtracker,ea892d6d48aa5d4627b429469b59ae3f0ce7f10f,Success
dhis2.py,https://github.com/davidhuser/dhis2.py,1534d5e44e2ee0c2e835ca4d43c3a32e50d43b2e,Fail_to_Fetch_Tests
dicom-standard,https://github.com/innolitics/dicom-standard,4d40ca75e3af51dd8fc2b027a7f79b6a2f4193cb,Success
dict,https://github.com/wufeifei/dict,89e730dbc035da6b5ceb598833d2eafc5343864d,Success
django-beam,https://github.com/django-beam/django-beam,43b2111f5c65937aa1e2cc9704b59796e982a805,Success
django-fiction-outlines,https://github.com/maceoutliner/django-fiction-outlines,a802f0884fd9ab6dcc6660ee684ee80fd53ec0ba,Fail_to_Fetch_Tests
django-health-check,https://github.com/KristianOellegaard/django-health-check,73e89fc3325a242eea6765e83b6bf568f72b8573,Fail_to_Fetch_Tests
django-hug,https://github.com/jounderwood/django-hug,778b16f568ce9fdb01f360b7bff89c9d8b6c2ef7,Success
django-idempotency-key,https://github.com/yoyowallet/django-idempotency-key,427e15fd8d42191131019209ec5e22197b2e7aac,Fail_to_Fetch_Tests
django-registration,https://github.com/macropin/django-registration,b66ddb4b0044c5a0f24b6a23d5387f68b6d7e577,Success
django-rest-framework-passwordless,https://github.com/aaronn/django-rest-framework-passwordless,7fe00dfbef8d163078160c7f317b26ed630fc8cc,Fail_to_Fetch_Tests
docker-pretty-ps,https://github.com/politeauthority/docker-pretty-ps,2fcc9db4e391df2b96ccc2e967b41b6263fdcc2d,Success
dockerpy-creds,https://github.com/shin-/dockerpy-creds,9c0b66d2e445a838e1518f2c3273df7ddc7ec0d4,Success
docopt-ng,https://github.com/bazaar-projects/docopt-ng,bbed40a2335686d2e14ac0e6c3188374dc4784da,Fail_to_Fetch_Tests
domain2idna,https://github.com/PyFunceble/domain2idna,39a1c4e1ebb877ed511e53b618fbe437a685c970,Success
dotty_dict,https://github.com/pawelzny/dotty_dict,b23b8a4e4d8af77a2cba99752eed776058ec08dd,Success
draft,https://github.com/edelgm6/draft,bdd813dfeb914b91c857f8a6675c86c7972555b3,Success
dtool-http,https://github.com/jic-dtool/dtool-http,04a13ccb3f252873228ac0d2d4df53c791157217,Fail_to_Fetch_Tests
dunamai,https://github.com/mtkennerly/dunamai,0f35675e96835726d8e9dbd3901d9f7b029154d3,Success
dynamic-conf,https://github.com/jnoortheen/dynamic-conf,42257f06a66765ac4f5de1c6a4637f4db779c5ab,Success
dynastes,https://github.com/dynastes-team/dynastes,931b6d9ac83862eb39c2f5144c95b952e9efcd8e,Fail_to_Fetch_Tests
dzonegit,https://github.com/oskar456/dzonegit,8f952086aa41aee4ebb7432926ed8c6a9211ac9f,Success
easy_python_requirements,https://github.com/tjdevries/easy_python_requirements,2bf905f34065637cbc781d17d8e5806892fb66d5,Success
easyagents,https://github.com/christianhidber/easyagents,d6639e82566c0f8bea6ca714d12643143f919788,Fail_to_Fetch_Tests
easypy,https://github.com/weka-io/easypy,9501c3ee03dcb1630e58cbb73b1647056907bcea,Success
ebaipy,https://github.com/brucehe3/ebaipy,2fc6740ee5355948ca2e7f2874ee5edb9acbd578,Success
HARK,https://github.com/econ-ark/HARK,c9138af45fd0a0d97c718c8558f3ea8d9f2ae820,Success
ecs-crd-cli,https://github.com/AdventielFr/ecs-crd-cli.git,7b296c64086a204d3540da272e3d8dd74721c6c4,Success
edk2-pytool-library,https://github.com/tianocore/edk2-pytool-library,ab6bac82f297b4e8fe0a0d4dcde4711b3cb1bc88,Success
elemental,https://github.com/cbsinteractive/elemental.git,ca570c9f5fc43e20a4db23fc0137380f87be63f0,Success
elife-tools,https://github.com/elifesciences/elife-tools,a5b93afbe4db7852bf1aa12265090d60140fca8e,Success
empyricalRMT,https://github.com/stfxecutables/empyricalRMT,942060955f2e4c8e464d9fda20a4e1951a63fe9b,Fail_to_Fetch_Tests
engfmt,https://github.com/kenkundert/engfmt,b908ef69aa7941e561019e24f969703f3234753b,Success
enpyronments,https://github.com/stephen1000/enpyronments,0848c55a2a1b132b3beba94265c103ba49385c8f,Success
envdir,https://github.com/jezdez/envdir,0db9594a66b58aad7731edc5b20e9436bfe2f971,Success
envyaml,https://github.com/thesimj/envyaml,79a220cabb69d71397310d941de205610cf5e4cb,Success
